time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1731409618326125800,0.099125732421875,1.0124968440249016,0.061235398620157325,0.48441941863907034,0.03152184771321684,0.8711445761518992,0.051916221210278696,0.15764031736220188
1731409618336147000,0.10914697265625,1.0153704065997047,0.06128141587238992,0.4857337644084612,0.034307603705972675,0.870303380654817,0.053658621051127876,0.15946949458719317
1731409618346167800,0.119167724609375,1.017164321381806,0.06208206961640606,0.4865450920766889,0.03654100452752364,0.8696804255813768,0.05545833657261132,0.16266549244528974
1731409618356188000,0.12918798828125,1.017407220938418,0.06367715498685829,0.4866322466260245,0.037574669588347605,0.869420200219465,0.056945085140512205,0.16692110413561084
1731409618366208800,0.139208740234375,1.0156712916806658,0.06594266507753886,0.4858045462972359,0.037195612417652346,0.8696510579707909,0.05790259524896402,0.17179673017950425
1731409618376230000,0.14922998046875,1.0117409609662689,0.0686349614359956,0.4839753854545843,0.03562406766721219,0.8704354677527755,0.058302053323087626,0.1768383627774766
1731409618386249700,0.159249755859375,1.005700608371521,0.0713732051317493,0.48120068229487356,0.03337900648006893,0.8717578021162713,0.05822401672973468,0.18146953264885998
1731409618396271000,0.16927099609375,0.9981140145121505,0.07381741370362933,0.4777473525390576,0.030989950065266635,0.8734796480890931,0.057807300864934394,0.18524829598586176
1731409618406292000,0.1792919921875,0.9900344728826008,0.0757462651088458,0.4740920332915123,0.028836053440252113,0.8753438733761186,0.05720363044705898,0.18795227838842388
1731409618416312800,0.189312744140625,0.9826916596177709,0.0770223502035491,0.4707907103886592,0.02730593877637909,0.8770499993895233,0.0566309171959774,0.18956074232297243
1731409618426333000,0.1993330078125,0.976906517116139,0.07774648755828815,0.4681961547572852,0.026147027617464267,0.8784111361819218,0.05605216920934442,0.1902186249821172
1731409618436354000,0.20935400390625,0.9729185325192287,0.07810918933709816,0.46639682318300557,0.024908190008661485,0.8793811656080647,0.05533240522074919,0.19013271087670583
1731409618446375000,0.219375,0.970505474346346,0.07822623329895194,0.4652948771389384,0.02362855534600325,0.8800034197239028,0.05454502946680131,0.189571156203683
1731409618456395800,0.229395751953125,0.9693507289586553,0.07823105076387622,0.4647507702238056,0.022404912426647182,0.8803365363367053,0.05379791875090147,0.1888653605270775
1731409618466415900,0.239415771484375,0.9691857706796353,0.07821248332568795,0.46464529867898813,0.021283555681675132,0.8804333292809045,0.05314894355679552,0.188221973359682
1731409618476436700,0.249436767578125,0.9697557304007669,0.07827959282405031,0.4648550291742781,0.020018761208313085,0.8803554079779269,0.05250323195891476,0.18774144907779727
1731409618486457900,0.259457763671875,0.9709050397013583,0.07845174119617013,0.4653060288468038,0.018453579075838524,0.8801448817658808,0.05177425404220394,0.1873740390873043
1731409618496478000,0.26947802734375,0.972588324367739,0.07877303895641483,0.4659747626587276,0.016540611828807443,0.8798100830392833,0.050956121262459755,0.18719044765015624
1731409618506498800,0.279498779296875,0.9748132417802251,0.07916470823932638,0.4668759224353551,0.01457017056695795,0.8793422405992634,0.050171251374688225,0.18716406835018942
1731409618516519700,0.289519775390625,0.9774794316483707,0.07949718237772287,0.4679788178554755,0.012820677506548804,0.8787636805472016,0.04950277384344865,0.187141402515759
1731409618526540800,0.299540771484375,0.9803488931989249,0.07969115036240926,0.4691801511660295,0.011214110914452865,0.8781416912406116,0.04885181185450517,0.1868868355533643
1731409618536561000,0.309560791015625,0.9832157536504135,0.07976394993967942,0.47038147977174916,0.00948883585932981,0.8775354478378837,0.048068425508843715,0.18628797844225342
1731409618546582000,0.31958203125,0.9860597755690848,0.07969467443622848,0.47157906247730763,0.007773953432968479,0.8769452924464863,0.04721239900716665,0.1853641900077225
1731409618556603000,0.329602783203125,0.9891191990694318,0.07946283666039468,0.47288915144207516,0.006445983287394952,0.876298797435781,0.0464972800408918,0.1842837873355114
1731409618566623000,0.339623046875,0.9926229953281834,0.07913382460670529,0.47441330800278564,0.005678214777272644,0.8755271225229156,0.0460678685725452,0.18330280951135539
1731409618576643800,0.349643798828125,0.99666570789354,0.07881687410238826,0.4761832674973267,0.005346601251801201,0.8746022514326242,0.04591814788018501,0.1826109616965433
1731409618586665000,0.3596650390625,1.0010687307843156,0.07862504708043086,0.4781051855824551,0.005107392285829407,0.8735708813899469,0.04590631958241102,0.18227281341722348
1731409618596685300,0.369685302734375,1.0053761214931933,0.07866517383670849,0.47996466038231855,0.004598290827859436,0.8725492938446421,0.04586278147113058,0.18231176907161967
1731409618606705400,0.379705322265625,1.0092647781287496,0.07907923665570826,0.48160354800585153,0.0034332858156999714,0.8716204435223347,0.04563095313971814,0.1828229688887127
1731409618616726300,0.389726318359375,1.012669905761424,0.07988507344595139,0.4829943291384361,0.0016805643194301465,0.870796512907158,0.04525759217454075,0.18388007906838183
1731409618626747600,0.39974755859375,1.0158606431962027,0.08094151514782161,0.4842754143489733,-0.00011091887077608703,0.870000811472393,0.044992460993262116,0.18547748830094296
1731409618636768500,0.4097685546875,1.0192033512820182,0.0820666136982853,0.4856304332820163,-0.0013705256620854226,0.8691350860169292,0.045080216133193046,0.18753592958257267
1731409618646788600,0.41978857421875,1.0230223715162627,0.08319903458038258,0.48720367326166586,-0.0020693606224035594,0.8681234547386681,0.04552210381807731,0.1899513691486552
1731409618656809500,0.4298095703125,1.0275751401783004,0.08436437023210043,0.48909809392571574,-0.002434957051749034,0.8669079804104602,0.046218865950134386,0.19267330120591977
1731409618666830600,0.43983056640625,1.032996692810822,0.08559570358418374,0.49136304169879824,-0.002660562078468695,0.8654584839963562,0.047089114421749144,0.19568117663542245
