time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1731409967980174600,0.150174560546875,0.0565524622797966,0.004935048520565033,0.2769942581653595,0.959193229675293,-0.025820715352892876,-0.5608901977539062,-0.12521804869174957
1731409967989980200,0.159980224609375,0.07038676738739014,0.008930336683988571,0.2803400158882141,0.9572750329971313,-0.0265369676053524,-0.5680415034294128,-0.15453927218914032
1731409967999786500,0.169786376953125,0.06792492419481277,0.00964204128831625,0.283603698015213,0.9564842581748962,-0.023933149874210358,-0.574999988079071,-0.14886951446533203
1731409968009591800,0.179591796875,0.06033913046121597,0.009160671383142471,0.28698036074638367,0.9559903740882874,-0.02049398235976696,-0.5821324586868286,-0.13220620155334473
1731409968019396600,0.189396728515625,0.05293254181742668,0.008377603255212307,0.2901880741119385,0.9554678797721863,-0.01769239269196987,-0.5888651609420776,-0.11605135351419449
1731409968029202200,0.1992021484375,0.04927366226911545,0.00793077889829874,0.29343312978744507,0.9546759724617004,-0.016640882939100266,-0.5956520438194275,-0.10824254900217056
1731409968039008500,0.209008544921875,0.04655449092388153,0.007301694713532925,0.29607710242271423,0.9540008902549744,-0.01653534173965454,-0.601155161857605,-0.1026466116309166
1731409968048813800,0.218813720703125,0.04167848452925682,0.0061760758981108665,0.2980766296386719,0.9536116123199463,-0.015891658142209053,-0.6053056716918945,-0.09231846034526825
1731409968058618600,0.22861865234375,0.03838253766298294,0.005568202119320631,0.299869567155838,0.9531915187835693,-0.015124401077628136,-0.6090562343597412,-0.0852450579404831
1731409968068424200,0.238424072265625,0.036672405898571014,0.005472720135003328,0.30159589648246765,0.9527146220207214,-0.014292826876044273,-0.6126909852027893,-0.08146803081035614
1731409968078230500,0.24823046875,0.0358302965760231,0.0054442137479782104,0.3034924864768982,0.9521443247795105,-0.013951214030385017,-0.6166769862174988,-0.07967029511928558
1731409968088035800,0.258035888671875,0.03589153662323952,0.005438779015094042,0.30554530024528503,0.9514853358268738,-0.0142425037920475,-0.6209820508956909,-0.07997748255729675
1731409968097840600,0.267840576171875,0.03408384323120117,0.004808721598237753,0.3072744905948639,0.9509981870651245,-0.014546811580657959,-0.6245876550674438,-0.07634610682725906
1731409968107646200,0.277646240234375,0.031531497836112976,0.003633002284914255,0.30882495641708374,0.950589120388031,-0.015530151315033436,-0.6277934908866882,-0.07135827839374542
1731409968117452500,0.28745263671875,0.029264552518725395,0.0019659821409732103,0.31030571460723877,0.9501842260360718,-0.01786482334136963,-0.6308239102363586,-0.06740768998861313
1731409968127258000,0.297258056640625,0.027119772508740425,-0.00013629546447191387,0.31165453791618347,0.9498083591461182,-0.021297506988048553,-0.6335589289665222,-0.06407222896814346
1731409968137062700,0.307062744140625,0.02513619139790535,-0.0025257114320993423,0.31296205520629883,0.9494295716285706,-0.02552536129951477,-0.6362009644508362,-0.06134319305419922
1731409968146868200,0.3168681640625,0.024037033319473267,-0.004820581991225481,0.31444382667541504,0.948959469795227,-0.030239541083574295,-0.6392044425010681,-0.060657333582639694
1731409968156674600,0.326674560546875,0.019854437559843063,-0.00793363619595766,0.3162253201007843,0.9484431743621826,-0.03449929878115654,-0.6429118514060974,-0.05335080251097679
1731409968166480100,0.336480224609375,0.013590690679848194,-0.011806514114141464,0.31833910942077637,0.9478059411048889,-0.03891615569591522,-0.6474149227142334,-0.04173443838953972
1731409968176284700,0.34628466796875,0.007213853765279055,-0.015964195132255554,0.32034793496131897,0.9471379518508911,-0.04386572167277336,-0.65177321434021,-0.030058538541197777
1731409968186090200,0.35609033203125,0.002224070718511939,-0.019958660006523132,0.32197490334510803,0.9465351700782776,-0.04948216676712036,-0.6553444862365723,-0.021522700786590576
1731409968195896600,0.365896484375,-0.0016455029835924506,-0.023497652262449265,0.3229680359363556,0.9461166858673096,-0.05486240237951279,-0.6575862169265747,-0.015243503265082836
1731409968205702100,0.3757021484375,-0.005411563441157341,-0.02645742893218994,0.32338201999664307,0.9458830952644348,-0.05889864265918732,-0.6586496233940125,-0.00869273953139782
1731409968215506700,0.385506591796875,-0.008045269176363945,-0.028420889750123024,0.32330650091171265,0.9458332061767578,-0.06144390627741814,-0.6586443781852722,-0.003993764985352755
1731409968225312300,0.395312255859375,-0.009407993406057358,-0.02950548194348812,0.32309383153915405,0.9458600878715515,-0.06291630119085312,-0.6582814455032349,-0.001603939337655902
1731409968235118600,0.40511865234375,-0.010912288911640644,-0.030477147549390793,0.32297614216804504,0.9458532929420471,-0.06400874257087708,-0.6581334471702576,0.0012084738118574023
1731409968244924200,0.414924072265625,-0.012470321729779243,-0.031563956290483475,0.32296517491340637,0.9458021521568298,-0.06533873826265335,-0.6582198143005371,0.00404610950499773
1731409968254729000,0.42472900390625,-0.014483921229839325,-0.03283357992768288,0.32270264625549316,0.9458198547363281,-0.06672364473342896,-0.6578137278556824,0.007844328880310059
1731409968264534300,0.4345341796875,-0.017540933564305305,-0.03453415259718895,0.3222014009952545,0.9458783864974976,-0.06828311830759048,-0.6569925546646118,0.013802945613861084
1731409968274340600,0.444340576171875,-0.02041301690042019,-0.036559898406267166,0.3217431306838989,0.9459006786346436,-0.07077784091234207,-0.6562710404396057,0.01904960907995701
1731409968284146200,0.454146240234375,-0.022822292521595955,-0.038804344832897186,0.32125815749168396,0.945921003818512,-0.07417414337396622,-0.6554813385009766,0.023015135899186134
1731409968293951000,0.463950927734375,-0.02544807456433773,-0.041381943970918655,0.3207091689109802,0.945931077003479,-0.07819239795207977,-0.6546022295951843,0.02723313495516777
